path_id,source_id,destination_id,width
0,15,268,1
1,439,651,1
2,651,645,1
3,29,740,1
4,740,269,1
5,439,860,1
6,14,655,1
7,655,606,1
8,6,8,1
9,249,270,1
10,407,666,1
11,666,608,1
12,14,765,1
13,765,514,1
14,262,817,1
15,817,279,1
16,269,797,1
17,797,285,1
18,249,936,1
19,936,277,1
20,0,442,1
21,24,385,1
22,385,277,1
23,262,270,1
24,653,773,1
25,325,637,1
26,248,458,1
27,458,283,1
28,18,660,1
29,275,952,1
30,952,280,1
31,19,157,1
32,157,278,1
33,252,760,1
34,760,275,1
35,255,285,1
36,4,15,1
37,15,277,1
38,20,929,1
39,929,913,1
40,913,642,1
41,28,249,1
42,10,630,1
43,630,641,1
44,277,496,1
45,496,442,1
46,16,277,1
47,245,303,1
48,303,477,1
49,477,383,1
50,383,277,1
51,645,728,1
52,24,302,1
53,302,244,1
54,8,348,1
55,348,637,1
56,272,283,1
57,266,797,1
58,797,269,1
59,269,277,1
60,252,760,1
61,760,276,1
62,2,553,1
63,553,14,1
64,10,593,1
65,593,653,1
66,261,271,1
67,13,344,1
68,344,728,1
69,728,653,1
70,12,586,1
71,586,630,1
72,6,20,1
73,29,251,1
74,325,417,1
75,267,111,2
76,111,388,2
77,249,748,1
78,748,803,1
79,803,275,1
80,280,285,1
81,17,117,1
82,117,328,1
83,367,610,1
84,610,728,1
85,29,320,1
86,320,256,1
87,4,35,1
88,35,883,1
89,883,627,1
90,627,642,1
91,28,478,1
92,478,247,1
93,367,660,2
94,275,282,1
95,388,667,1
96,667,594,1
97,259,691,1
98,691,275,1
99,17,20,1
100,21,637,1
101,250,752,1
102,752,284,1
103,249,462,1
104,462,265,1
105,10,23,1
106,247,267,1
107,26,310,1
108,310,759,1
109,759,275,1
110,253,261,1
111,25,257,1
112,7,553,1
113,553,14,1
114,276,283,1
115,11,591,1
116,591,325,1
117,253,764,1
118,764,266,1
119,27,314,1
120,314,244,1
121,266,797,1
122,797,269,1
123,269,278,1
124,18,509,1
125,509,653,1
126,254,265,1
127,263,273,1
128,29,291,1
129,291,935,1
130,935,278,1
131,5,98,1
132,98,13,1
133,248,667,1
134,255,455,1
135,455,816,1
136,816,268,1
137,25,247,1
138,27,270,1
139,275,283,1
140,407,912,1
141,912,594,1
142,269,952,1
143,952,282,1
144,16,110,1
145,110,417,1
146,439,917,1
147,917,644,1
148,14,509,1
149,509,606,1
150,258,276,4
151,276,266,4
152,260,284,1
153,26,27,1
154,5,98,1
155,98,17,1
156,245,264,1
157,514,634,1
158,634,637,1
159,594,770,1
160,770,907,1
161,258,687,1
162,687,263,1
163,594,630,1
164,8,84,1
165,84,325,1
166,9,725,1
167,725,653,1
168,261,262,1
169,250,752,1
170,752,263,1
171,23,369,1
