path_id,link_id,first_color
0,1125,8
0,1115,8
0,635,8
0,634,8
0,633,8
0,632,8
0,631,8
1,715,41
1,714,41
1,992,41
1,991,41
1,990,41
1,989,41
1,988,41
1,962,41
2,961,41
2,960,41
2,959,41
2,958,41
2,957,41
2,956,41
2,955,41
2,954,41
3,953,41
3,952,41
3,951,41
3,950,41
3,949,41
3,948,41
4,287,52
4,286,52
4,285,52
4,284,52
4,283,52
4,413,52
4,414,52
4,415,52
4,416,52
5,417,52
5,511,52
5,512,52
5,513,52
5,514,52
5,515,52
5,601,52
5,602,52
5,603,52
6,604,52
6,605,52
6,560,52
6,559,52
6,558,52
6,557,52
6,556,52
6,555,52
6,554,52
7,553,52
7,552,52
7,551,52
8,764,7
8,765,7
8,1099,7
8,1100,7
8,1101,7
8,1102,7
8,1103,7
9,772,35
9,771,35
9,770,35
9,769,35
9,768,35
9,767,35
9,766,35
9,1083,35
9,879,35
9,880,35
9,881,35
10,882,35
10,883,35
10,884,35
10,885,35
10,962,35
10,961,35
10,960,35
10,959,35
11,958,35
11,957,35
11,956,35
11,870,35
11,871,35
11,872,35
11,966,35
12,967,35
13,37,53
13,38,53
13,39,53
13,62,53
13,12,53
13,13,53
13,14,53
13,15,53
13,16,53
13,17,53
13,18,53
14,19,53
14,20,53
14,21,53
14,22,53
14,181,53
15,363,7
15,364,7
15,365,7
15,366,7
15,367,7
15,506,7
15,507,7
15,508,7
15,509,7
16,510,7
16,596,7
16,597,7
16,598,7
16,599,7
16,600,7
17,992,3
17,991,3
17,990,3
17,989,3
17,988,3
17,869,3
17,868,3
17,867,3
18,866,3
18,865,3
18,864,3
18,863,3
18,870,3
18,871,3
18,872,3
19,932,3
19,931,3
20,772,58
20,771,58
20,770,58
20,769,58
20,768,58
20,767,58
20,766,58
20,691,58
20,1040,58
20,1039,58
20,1038,58
21,1037,58
21,1036,58
21,1035,58
21,1034,58
21,873,58
21,874,58
21,875,58
21,876,58
21,877,58
22,878,58
22,862,58
22,923,58
22,924,58
22,925,58
22,926,58
22,927,58
22,928,58
23,929,58
23,930,58
23,890,58
23,909,58
23,907,58
23,906,58
23,904,58
23,902,58
23,892,58
24,475,17
24,474,17
24,473,17
24,472,17
24,471,17
24,470,17
24,469,17
24,468,17
24,467,17
25,466,17
25,465,17
25,464,17
25,463,17
25,462,17
25,461,17
25,591,17
25,592,17
25,593,17
26,594,17
26,595,17
26,636,17
26,637,17
26,638,17
26,639,17
26,640,17
27,636,79
