path_id,link_id,first_color
0,1125,15
0,1115,15
0,635,15
1,634,15
1,633,15
1,632,15
2,631,15
3,715,69
3,714,69
4,992,69
4,991,69
4,990,69
5,989,69
5,988,69
5,869,69
6,868,69
6,867,69
6,866,69
7,865,69
7,864,69
7,863,69
8,955,69
8,954,69
8,953,69
9,952,69
9,951,69
9,950,69
9,949,69
10,948,69
11,418,48
11,419,48
11,420,48
12,421,48
12,422,48
12,516,48
13,517,48
13,518,48
13,519,48
14,520,48
14,606,48
14,607,48
15,608,48
15,609,48
15,610,48
16,565,48
16,564,48
16,563,48
17,562,48
17,561,48
17,560,48
18,559,48
18,558,48
18,557,48
19,556,48
19,555,48
19,554,48
20,553,48
20,552,48
20,551,48
21,764,0
21,765,0
21,1099,0
21,1100,0
22,1101,0
22,1102,0
22,1103,0
23,772,23
23,771,23
23,770,23
23,769,23
24,768,23
24,767,23
24,766,23
24,691,23
24,879,23
25,880,23
25,881,23
25,882,23
26,883,23
26,884,23
26,885,23
27,962,23
27,961,23
27,960,23
28,959,23
28,958,23
29,957,23
29,956,23
29,963,23
30,964,23
30,965,23
31,966,23
31,967,23
32,37,5
32,38,5
32,39,5
32,62,5
33,12,5
33,13,5
33,14,5
33,15,5
34,16,5
34,17,5
34,18,5
34,19,5
35,20,5
35,21,5
35,22,5
35,54,5
36,363,43
36,364,43
36,365,43
37,366,43
37,367,43
37,506,43
38,507,43
38,508,43
38,509,43
39,510,43
39,596,43
39,597,43
40,598,43
40,599,43
40,600,43
41,992,6
41,991,6
41,990,6
42,989,6
42,988,6
42,962,6
43,961,6
43,960,6
43,959,6
44,958,6
44,957,6
44,956,6
45,963,6
45,964,6
46,965,6
46,932,6
46,931,6
47,772,37
47,771,37
47,770,37
47,769,37
48,768,37
48,767,37
48,766,37
48,691,37
48,1040,37
49,1039,37
49,1038,37
49,1037,37
50,1036,37
50,1035,37
50,1034,37
51,873,37
51,874,37
51,875,37
52,876,37
52,877,37
52,878,37
53,987,37
53,986,37
53,985,37
54,984,37
54,983,37
54,982,37
55,981,37
55,980,37
55,979,37
56,978,37
56,977,37
56,976,37
57,975,37
57,974,37
57,973,37
58,861,37
59,606,64
59,607,64
59,608,64
60,609,64
60,610,64
60,651,64
61,652,64
61,653,64
61,654,64
62,655,64
62,1119,64
62,1118,64
63,1117,64
64,636,54
64,637,54
64,638,54
65,639,54
65,640,54
65,1117,54
66,1118,54
66,1119,54
66,1120,54
67,1121,54
67,1122,54
68,501,11
68,502,11
68,503,11
69,504,11
69,505,11
69,591,11
70,592,11
70,593,11
70,594,11
71,595,11
71,636,11
71,637,11
72,638,11
72,639,11
72,640,11
73,1116,11
73,1115,11
74,782,0
74,781,0
75,333,2
75,334,2
75,335,2
76,336,2
76,337,2
76,338,2
77,339,2
77,340,2
77,341,2
78,342,2
78,343,2
78,344,2
79,345,2
79,346,2
79,347,2
80,348,2
80,349,2
80,350,2
81,351,2
81,352,2
82,475,79
82,474,79
82,473,79
83,472,79
83,471,79
83,470,79
84,469,79
84,468,79
84,467,79
85,466,79
85,596,79
85,597,79
86,598,79
86,599,79
86,600,79
87,863,9
87,864,9
87,865,9
88,866,9
88,867,9
88,868,9
89,869,9
89,886,9
89,887,9
89,888,9
90,889,9
91,698,23
91,699,23
91,700,23
92,701,23
92,1083,23
92,1082,23
92,1081,23
93,1080,23
93,1079,23
93,1057,23
94,1058,23
94,1059,23
94,1060,23
95,1061,23
95,1062,23
96,358,23
96,359,23
96,360,23
97,361,23
97,362,23
97,363,23
98,364,23
98,365,23
98,366,23
99,367,23
99,368,23
99,369,23
100,370,23
100,371,23
100,372,23
101,373,23
101,374,23
101,375,23
102,376,23
102,377,23
102,378,23
103,379,23
103,380,23
103,381,23
104,382,23
104,521,23
104,522,23
105,523,23
105,524,23
105,525,23
106,611,23
106,612,23
106,613,23
107,614,23
107,615,23
107,1111,23
108,182,9
108,772,9
108,771,9
108,770,9
108,769,9
109,768,9
109,767,9
109,766,9
109,1083,9
109,879,9
110,880,9
110,881,9
110,882,9
111,883,9
111,884,9
111,885,9
112,263,15
112,264,15
112,265,15
113,266,15
113,267,15
113,268,15
114,269,15
114,270,15
114,271,15
115,272,15
115,273,15
115,274,15
116,275,15
116,276,15
116,277,15
117,278,15
117,279,15
117,280,15
118,281,15
118,282,15
118,283,15
119,284,15
119,285,15
119,286,15
120,287,15
120,418,15
120,419,15
121,420,15
121,421,15
121,422,15
122,516,15
122,517,15
122,518,15
123,519,15
123,520,15
123,606,15
124,607,15
124,608,15
124,609,15
125,610,15
125,651,15
125,652,15
126,653,15
126,654,15
126,655,15
127,1113,28
127,1122,28
127,1121,28
128,1120,28
128,1119,28
128,1118,28
129,187,42
129,188,42
129,189,42
130,190,42
130,191,42
131,192,42
131,193,42
132,194,42
132,226,42
132,225,42
133,224,42
133,223,42
133,1125,42
133,1115,42
134,378,52
134,379,52
134,380,52
135,381,52
135,382,52
135,521,52
136,522,52
136,523,52
136,524,52
137,525,52
137,481,52
137,482,52
138,483,52
138,484,52
138,485,52
139,616,52
139,617,52
139,618,52
140,619,52
140,620,52
140,1112,52
141,1122,52
141,1113,52
142,531,45
142,532,45
142,533,45
143,534,45
143,535,45
143,621,45
144,622,45
144,623,45
144,624,45
145,625,45
145,1113,45
146,97,13
146,96,13
146,95,13
146,137,13
147,136,13
147,135,13
147,134,13
147,133,13
148,132,13
148,131,13
148,130,13
148,129,13
149,128,13
149,127,13
149,126,13
150,162,13
150,161,13
150,160,13
151,159,13
151,158,13
151,1125,13
152,213,11
152,214,11
152,215,11
153,216,11
153,217,11
153,218,11
154,219,11
154,220,11
154,221,11
155,816,11
155,815,11
155,814,11
156,786,11
156,785,11
156,784,11
156,783,11
157,1029,11
157,1028,11
157,1027,11
158,1026,11
158,1025,11
158,1024,11
159,1023,11
159,1022,11
159,1021,11
160,1020,11
160,1019,11
160,987,11
161,986,11
161,985,11
161,984,11
162,983,11
162,982,11
162,981,11
163,980,11
163,979,11
163,945,11
164,944,11
164,943,11
164,942,11
165,941,11
166,413,36
166,414,36
166,415,36
167,416,36
167,417,36
167,372,36
168,371,36
