path_id,source_id,destination_id,width
0,58,150,1
1,150,182,1
2,182,367,1
3,367,75,1
4,75,368,1
5,368,339,1
6,339,370,1
7,370,85,1
8,329,163,1
9,163,349,1
10,349,370,1
11,370,339,1
12,339,365,1
13,189,362,1
14,362,236,1
15,236,238,1
16,249,112,1
17,112,390,1
18,390,335,1
19,335,44,1
20,44,280,1
21,280,237,1
22,237,86,1
23,86,294,1
24,302,182,1
25,182,367,1
26,298,375,1
27,375,316,1
28,316,278,1
29,278,290,1
30,290,368,1
31,368,339,1
32,339,370,1
33,106,255,1
34,83,85,1
35,100,361,1
36,361,348,1
37,225,333,1
38,333,286,1
39,44,280,1
40,280,237,1
41,237,86,1
42,86,272,1
43,272,311,1
44,311,221,1
45,27,282,1
46,282,171,1
47,171,104,1
48,94,304,1
49,178,323,1
50,323,318,1
51,38,60,1
52,60,98,1
53,93,156,1
54,26,313,1
55,313,272,1
56,272,311,1
57,311,163,1
58,65,315,1
59,315,157,1
60,157,259,1
61,259,272,1
62,272,311,1
63,311,295,1
64,65,315,1
65,315,220,1
66,220,119,1
67,76,70,1
68,70,116,1
69,163,311,1
70,311,380,1
71,380,367,1
72,104,182,1
73,182,380,1
74,380,311,1
75,311,225,1
76,238,301,1
77,302,290,1
78,290,368,1
79,240,275,1
80,275,380,1
81,146,284,1
82,284,367,1
83,367,75,1
84,75,368,1
85,206,275,1
86,275,380,1
87,380,311,1
88,311,308,1
89,105,351,1
90,11,173,1
91,173,240,1
92,240,300,1
93,218,193,1
94,193,252,1
95,252,142,1
96,142,208,1
97,208,305,1
98,305,238,1
99,48,392,1
100,392,128,1
101,128,115,1
102,44,280,2
103,280,237,2
104,237,12,2
105,12,155,2
106,155,171,2
107,171,389,2
108,167,385,1
109,11,150,1
110,150,224,1
111,121,129,1
112,134,139,1
113,139,146,1
114,146,232,1
115,93,162,1
116,319,176,1
117,176,221,1
118,221,50,1
119,50,296,1
120,296,261,1
121,261,131,1
122,131,342,1
123,342,354,1
124,137,332,1
125,332,75,1
126,75,297,1
127,297,287,1
128,338,342,1
129,342,354,1
130,354,381,1
131,36,231,1
132,83,215,1
133,56,127,1
134,127,155,1
135,18,313,1
136,313,294,1
137,169,332,1
138,332,75,1
139,75,368,1
140,368,339,1
141,339,370,1
142,370,333,1
143,179,287,1
144,287,225,1
145,225,333,1
146,333,276,1
147,276,314,1
148,38,301,1
149,58,272,1
150,272,311,1
151,100,180,1
152,180,166,1
153,166,308,1
154,308,329,1
155,169,332,1
156,332,75,1
157,75,297,1
158,297,179,1
159,202,194,1
160,194,217,1
161,217,168,1
162,168,261,1
163,261,314,1
164,314,360,1
165,100,95,1
166,95,272,1
167,272,311,1
168,0,230,1
169,230,172,1
170,172,92,1
171,92,44,1
172,44,318,1
173,318,190,1
174,100,361,1
175,361,318,1
176,318,44,1
177,44,92,1
178,92,172,1
179,172,262,1
180,262,327,1
181,112,390,4
182,390,335,4
183,335,44,4
184,44,280,4
185,280,237,4
186,237,27,4
187,27,150,4
188,150,224,4
189,224,367,4
190,367,210,4
191,210,281,4
192,281,121,4
193,121,293,4
194,123,217,1
195,217,194,1
196,22,219,1
197,219,356,1
198,356,258,1
199,258,231,1
200,173,259,1
201,37,388,1
202,388,102,1
203,102,187,1
204,187,38,1
205,38,149,1
206,70,92,1
207,92,372,1
208,150,167,1
209,0,142,1
210,142,249,1
211,249,327,1
212,176,329,1
213,329,287,1
214,287,366,1
215,366,341,1
216,341,88,1
217,88,184,1
218,182,302,1
219,302,207,1
220,207,203,1
221,203,324,1
222,168,342,1
223,342,354,1
224,48,294,1
225,294,358,1
226,358,287,1
227,11,272,1
228,272,311,1
229,311,163,1
230,57,359,1
231,359,234,1
232,234,289,1
233,63,313,1
234,313,353,1
235,231,17,1
236,17,53,1
237,53,240,1
238,240,255,1
239,255,267,1
240,267,203,1
241,203,375,1
242,375,298,1
243,298,365,1
244,3,55,1
245,73,180,1
246,286,85,1
247,85,364,1
248,364,325,1
249,325,324,1
250,324,346,1
251,26,27,1
252,73,294,1
253,294,319,1
254,75,297,1
255,297,380,1
256,83,370,1
257,370,339,1
258,10,115,1
259,283,199,1
260,199,328,1
261,328,293,1
262,130,134,1
263,255,75,2
264,75,368,2
265,368,339,2
266,339,370,2
267,370,271,2
268,271,314,2
269,45,69,1
270,69,335,1
271,335,44,1
272,44,280,1
273,280,234,1
274,255,267,1
275,267,169,1
276,169,263,1
277,155,115,1
278,115,297,1
279,168,217,1
280,217,194,1
281,194,202,1
282,83,85,1
283,85,370,1
284,370,339,1
285,339,368,1
286,368,75,1
287,75,297,1
288,297,115,1
289,115,392,1
290,392,132,1
291,11,272,1
292,272,311,1
293,311,295,1
294,119,165,1
295,165,75,1
296,75,368,1
297,368,339,1
298,339,365,1
299,52,167,1
300,12,313,1
301,313,272,1
302,271,330,1
303,330,364,1
304,364,325,1
305,325,298,1
306,298,375,1
307,62,219,1
308,219,356,1
309,356,180,1
310,180,166,1
311,166,308,1
312,308,163,1
313,163,349,1
314,349,50,1
315,50,296,1
316,296,265,1
317,230,262,1
318,262,327,1
319,59,171,1
320,149,148,1
321,148,229,1
322,229,391,1
323,75,206,1
324,206,275,1
325,275,259,1
326,259,272,1
327,272,353,1
328,353,124,1
329,124,356,1
330,356,190,1
331,190,218,1
332,10,167,1
333,167,88,1
334,88,341,1
335,341,366,1
336,366,287,1
337,287,225,1
338,225,333,1
339,50,370,1
340,370,339,1
341,339,368,1
342,368,210,1
343,210,310,1
344,310,199,1
345,73,150,1
346,150,139,1
347,139,206,1
348,86,237,1
349,237,234,1
350,130,181,1
351,181,310,1
352,310,203,1
353,150,224,1
354,224,287,1
355,287,295,1
356,295,163,1
357,182,380,1
358,380,311,1
359,311,221,1
360,173,224,1
361,224,287,1
362,287,233,1
363,54,112,1
364,112,390,1
365,390,335,1
366,335,273,1
367,273,97,1
368,86,109,1
369,263,169,1
370,169,267,1
371,40,58,1
372,224,380,1
373,95,146,1
374,146,139,1
375,139,171,1
376,129,346,1
377,346,324,1
378,324,325,1
379,325,364,1
380,364,330,1
381,330,333,1
382,179,182,1
383,182,300,1
384,232,294,1
385,294,272,1
386,272,311,1
387,311,349,1
388,349,333,1
389,54,60,1
390,60,331,1
391,331,357,1
392,251,249,1
393,249,98,1
394,98,252,1
395,252,193,1
396,193,348,1
397,82,313,1
398,313,353,1
399,21,115,1
400,115,300,1
401,103,221,1
402,221,225,1
403,366,183,1
404,183,367,1
405,156,280,1
406,280,237,1
407,237,86,1
408,86,272,1
409,272,311,1
410,311,176,1
411,169,207,1
412,207,302,1
413,302,284,1
414,289,95,1
415,95,272,1
416,272,311,1
417,311,329,1
418,134,300,1
419,3,21,1
420,98,187,1
421,365,298,1
422,298,375,1
423,22,219,1
424,219,356,1
425,356,180,1
426,180,166,1
427,166,308,1
428,308,163,1
429,6,82,1
430,57,219,1
431,219,356,1
432,356,180,1
433,180,166,1
434,166,308,1
435,308,163,1
436,163,349,1
437,349,50,1
438,50,296,1
439,296,265,1
440,321,292,1
441,292,328,1
442,328,310,1
443,310,226,1
444,226,297,1
445,297,259,1
446,259,366,1
447,234,359,1
448,359,94,1
449,94,108,1
450,108,172,1
