link_id,source_id,destination_id,distance,width
0,0,24,1.0,80
1,1,13,2.0,80
2,2,14,3.0,80
3,3,382,3.0,80
4,4,15,3.0,80
5,1,4,3.0,80
6,4,5,3.0,80
7,3,6,4.0,80
8,7,17,4.0,80
9,8,153,4.0,80
10,9,383,4.0,80
11,10,21,4.0,80
12,5,11,4.0,80
13,3,5,4.0,80
14,12,23,4.0,80
15,13,33,4.0,80
16,14,16,4.0,80
17,2,15,4.0,80
18,16,26,4.2,80
19,17,109,4.0,80
20,18,48,4.0,80
21,19,384,5.0,80
22,21,34,5.0,80
23,22,37,5.0,80
24,18,23,5.0,80
25,24,54,5.0,80
26,9,25,5.0,80
27,26,55,5.0,80
28,27,84,5.0,80
29,28,36,5.0,80
30,29,385,5.0,80
31,30,56,5.0,80
32,31,377,80.0,80
33,4,6,6.0,80
34,32,52,6.0,80
35,33,384,6.0,80
36,34,51,6.0,80
37,35,159,6.0,80
38,6,74,6.0,80
39,33,109,6.0,80
40,7,36,6.0,80
41,37,43,6.0,80
42,38,301,6.0,80
43,39,106,6.0,80
44,40,118,6.0,80
45,35,41,7.0,80
46,22,43,7.0,80
47,42,156,7.0,80
48,43,57,7.0,80
49,39,61,7.0,80
50,42,44,7.0,80
51,45,60,7.0,80
52,46,231,7.0,80
53,47,263,5.9,80
54,32,48,7.0,80
55,49,198,7.0,80
56,50,83,7.0,80
57,36,51,7.0,80
58,48,52,7.0,80
59,53,128,7.0,80
60,54,126,7.0,80
61,10,55,7.0,80
62,39,59,7.0,80
63,52,56,7.0,80
64,57,62,7.0,80
65,35,158,7.0,80
66,11,58,8.0,80
67,11,382,8.0,80
68,59,134,8.0,80
69,60,229,5.8,80
70,0,20,8.0,80
71,58,95,8.0,80
72,61,334,8.0,80
73,43,62,8.0,80
74,28,63,8.0,80
75,64,156,8.0,80
76,65,118,12.0,80
77,18,26,8.0,80
78,66,133,8.0,80
79,67,285,6.4,80
80,68,101,5.87,80
81,68,69,8.0,80
82,65,84,8.0,80
83,26,67,8.0,80
84,70,235,8.0,80
85,71,168,29.0,80
86,72,111,8.0,80
87,8,73,8.0,80
88,57,97,8.0,80
89,74,232,9.0,80
90,12,285,8.5,80
91,75,226,9.0,80
92,59,61,9.0,80
93,9,386,9.0,80
94,76,387,9.0,80
95,37,304,9.0,80
96,77,347,9.0,80
97,49,204,9.0,80
98,78,123,9.0,80
99,78,79,9.0,80
100,0,80,9.0,80
101,80,81,9.0,80
102,82,107,9.0,80
103,83,103,9.0,80
104,58,147,9.0,80
105,66,84,9.0,80
106,85,330,9.0,80
107,86,95,9.0,80
108,87,228,9.0,80
109,88,174,9.0,80
110,89,232,9.0,80
111,31,90,26.0,80
112,91,129,10.0,80
113,92,388,10.0,80
114,93,192,10.0,80
115,59,302,10.0,80
116,91,383,10.0,80
117,94,97,10.0,80
118,89,95,10.0,80
119,96,124,10.0,80
120,97,304,10.0,80
121,22,62,10.0,80
122,70,98,10.0,80
123,94,99,10.0,80
124,96,100,10.0,80
125,101,151,10.0,80
126,70,102,10.0,80
127,103,205,10.0,80
128,104,389,10.0,80
129,29,178,10.0,80
130,49,105,10.0,80
131,106,302,10.0,80
132,92,108,10.0,80
133,65,107,10.0,80
134,108,390,10.0,80
135,10,109,10.0,80
136,43,304,10.0,80
137,110,132,10.0,80
138,111,241,10.0,80
139,48,73,7.7,80
140,112,387,10.0,80
141,65,113,10.0,80
142,12,114,10.0,80
143,115,157,10.0,80
144,83,312,10.0,80
145,19,74,10.0,80
146,27,40,10.04,80
147,30,114,11.0,80
148,77,116,11.0,80
149,117,122,11.0,80
150,107,118,11.0,80
151,86,147,11.0,80
152,61,119,11.0,80
153,120,369,11.0,80
154,121,320,11.0,80
155,122,293,10.0,80
156,79,123,11.0,80
157,124,180,11.0,80
158,125,199,11.0,80
159,126,391,11.0,80
160,127,150,11.0,80
161,115,128,8.0,80
162,129,152,11.0,80
163,130,302,11.0,80
164,123,131,11.0,80
165,57,99,11.0,80
166,63,132,12.0,80
167,114,133,12.0,80
168,134,302,12.0,80
169,71,131,12.0,80
170,45,135,12.0,80
171,105,145,12.0,80
172,36,63,11.0,80
173,136,211,12.0,80
174,137,144,12.0,80
175,138,326,12.0,80
176,139,220,12.0,80
177,36,140,12.0,80
178,141,265,12.0,80
179,82,113,12.0,80
180,98,142,12.0,80
181,143,311,12.0,80
182,79,374,12.0,80
183,144,355,12.0,80
184,145,379,12.0,80
185,146,184,12.0,80
186,147,385,11.0,80
187,148,362,12.0,80
188,149,238,12.0,80
189,150,173,12.0,80
190,122,263,11.7,80
191,102,151,12.0,80
192,106,119,12.0,80
193,146,254,12.0,80
194,63,392,9.74,80
195,56,65,12.0,80
196,47,152,11.4,80
197,21,67,12.0,80
198,116,391,12.0,80
199,58,153,12.0,80
200,127,154,12.0,80
201,127,155,24.0,80
202,44,156,12.0,80
203,53,157,12.0,80
204,121,158,12.0,80
205,129,159,12.0,80
206,95,160,32.0,80
207,161,298,12.0,80
208,130,389,13.0,80
209,25,159,13.0,80
210,162,273,13.0,80
211,163,233,13.0,80
212,20,391,13.0,80
213,164,355,13.0,80
214,165,255,13.0,80
215,166,353,13.0,80
216,23,56,13.0,80
217,87,167,13.0,80
218,131,168,13.0,80
219,169,196,13.0,80
220,117,170,14.0,80
221,171,240,14.0,80
222,172,393,14.0,80
223,53,173,14.0,80
224,139,174,14.0,80
225,76,175,14.0,80
226,176,394,14.0,80
227,177,241,14.0,80
228,178,231,14.0,80
229,179,183,14.0,80
230,180,258,14.0,80
231,134,389,14.0,80
232,181,212,14.0,80
233,182,191,11.1,80
234,183,380,14.0,80
235,142,307,18.0,80
236,127,184,15.0,80
237,40,185,15.0,80
238,41,256,15.0,80
239,186,267,15.0,80
240,135,187,15.0,80
241,187,245,15.0,80
242,188,248,15.0,80
243,189,331,15.0,80
244,190,219,12.3,80
245,191,284,15.0,80
246,37,192,15.0,80
247,94,193,15.0,80
248,194,395,15.0,80
249,195,223,15.0,80
250,196,281,15.0,80
251,38,120,15.0,80
252,197,198,15.0,80
