path_id,source_id,destination_id,width
0,11,13,1
1,18,16,1
2,2,3,1
3,2,10,2
4,18,3,1
5,12,13,1
6,6,2,1
7,1,6,1
8,18,10,1
9,12,5,1
10,6,2,1
11,18,17,1
12,12,5,1
13,8,9,1
14,18,9,1
15,6,4,1
16,11,13,1
17,4,13,1
18,4,18,1
19,4,18,1
20,8,18,1
21,16,19,1
22,1,11,1
23,13,15,1
24,15,19,2
25,12,16,1
26,2,3,1
27,15,19,1
28,18,3,1
29,8,19,2
30,14,19,2
31,10,17,1
32,16,13,2
33,8,10,1
34,7,2,1
35,18,10,1
36,18,6,1
37,12,8,1
38,2,7,2
39,7,9,1
40,6,19,2
41,12,14,1
42,4,16,2
43,4,18,2
44,2,1,1
45,15,1,1
46,2,5,1
47,2,9,1
48,13,2,1
49,10,17,1
50,17,1,2
51,2,18,4
52,13,9,1
53,13,6,1
54,2,13,1
55,7,18,1
56,7,4,1
57,10,2,1
58,16,18,1
59,15,7,1
60,2,9,1
61,13,17,1
62,13,16,1
63,11,14,1
64,12,19,1
65,16,10,1
66,1,16,1
67,1,18,1
68,7,10,1
69,2,0,4
70,18,1,1
71,4,15,1
72,6,10,2
73,7,1,1
74,3,1,1
75,2,19,1
76,10,19,1
77,12,9,1
78,17,14,1
79,3,1,1
80,2,12,1
81,7,4,1
82,8,13,1
83,10,2,1
84,4,14,1
85,10,3,1
86,15,17,1
87,4,2,2
88,8,12,1
89,17,1,2
90,1,15,1
91,1,17,2
92,8,16,2
93,1,16,1
94,8,5,1
95,1,17,2
96,10,2,1
97,16,4,1
98,0,9,1
99,14,19,2
