path_id,link_id,first_color
0,22,0
0,10,0
0,11,0
1,12,0
1,1,0
1,6,0
2,1,1
2,2,1
3,10,1
4,12,1
4,8,1
5,26,2
5,5,2
5,1,2
5,11,2
6,13,3
6,14,3
6,10,3
7,1,4
7,10,4
7,14,4
7,13,4
8,12,3
8,1,3
8,5,3
8,24,3
9,26,0
9,15,0
10,13,5
10,14,5
10,10,5
11,12,5
11,1,5
11,7,5
12,26,1
12,15,1
13,19,0
13,24,0
13,20,0
14,12,6
14,10,6
14,20,6
15,13,0
16,22,7
16,10,7
16,11,7
17,14,8
17,10,8
17,11,8
18,14,9
18,10,9
18,12,9
19,14,10
19,10,10
19,12,10
20,19,7
20,5,7
20,1,7
20,12,7
21,28,0
21,29,0
22,1,11
22,10,11
22,22,11
23,11,12
23,10,12
23,24,12
24,29,1
25,26,3
25,28,3
26,1,6
26,2,6
27,29,3
28,12,8
28,1,8
28,2,8
29,19,4
29,29,4
30,23,6
30,24,6
30,29,6
31,20,1
31,21,1
32,6,9
32,1,9
32,11,9
33,19,13
33,5,13
33,1,13
33,10,13
34,4,12
34,1,12
35,12,14
35,10,14
36,12,15
36,10,15
36,14,15
36,13,15
37,26,6
37,19,6
38,1,14
38,4,14
39,4,16
39,1,16
39,10,16
39,20,16
40,16,0
41,26,17
41,5,17
41,1,17
41,10,17
41,23,17
42,14,18
42,10,18
42,1,18
42,6,18
43,14,20
43,10,20
43,12,20
44,10,22
44,24,22
44,5,22
45,5,0
46,9,0
47,1,20
47,5,20
47,24,20
47,20,20
48,11,1
49,10,23
49,1,23
49,7,23
50,21,24
50,20,24
50,10,24
50,1,24
51,12,16
52,11,21
52,1,21
52,5,21
52,24,21
52,20,21
53,11,26
53,10,26
53,14,26
53,13,26
54,11,3
55,4,22
55,1,22
55,12,22
56,18,2
56,20,2
56,14,2
57,24,26
57,5,26
57,1,26
58,6,27
58,1,27
58,12,27
59,24,4
59,20,4
59,18,4
60,10,27
60,20,27
61,11,28
61,10,28
61,20,28
61,21,28
62,11,29
62,10,29
62,25,29
63,22,1
63,23,1
64,26,8
64,29,8
65,28,30
65,5,30
65,1,30
65,10,30
66,5,1
66,28,1
67,1,28
67,12,28
68,18,3
68,20,3
69,1,31
69,7,31
69,0,31
70,12,31
70,10,31
70,24,31
70,5,31
71,14,1
71,24,1
72,13,6
72,14,6
73,4,0
74,2,0
75,10,32
75,24,32
75,29,32
76,24,9
76,29,9
77,26,5
77,24,5
77,20,5
78,7,35
78,1,35
78,10,35
78,23,35
79,8,29
79,1,29
80,1,36
80,5,36
80,26,36
81,18,11
81,20,11
81,14,11
82,19,37
82,5,37
82,1,37
82,11,37
83,10,33
84,14,0
84,23,0
85,10,34
85,8,34
86,5,4
86,7,4
87,14,36
87,10,36
88,19,9
88,26,9
89,21,38
89,20,38
89,10,38
89,1,38
90,1,40
90,10,40
90,24,40
91,1,41
91,10,41
91,20,41
91,21,41
92,19,10
92,28,10
93,1,43
93,10,43
93,24,43
93,28,43
94,19,2
94,15,2
95,7,0
96,10,44
97,25,12
97,14,12
98,0,0
98,21,0
99,27,0
