link_id,source_id,destination_id,distance,width
0,0,17,323.93,80
1,17,0,323.93,80
2,1,2,46.13,80
3,2,1,46.13,80
4,1,3,676.09,80
5,3,1,676.09,80
6,1,5,1127.09,80
7,5,1,1127.09,80
8,1,7,649.25,80
9,7,1,649.25,80
10,1,15,430.75,80
11,15,1,430.75,80
12,1,16,935.74,80
13,16,1,935.74,80
14,1,17,751.61,80
15,17,1,751.61,80
16,2,3,630.09,80
17,3,2,630.09,80
18,2,5,1088.91,80
19,5,2,1088.91,80
20,2,10,84.16,80
21,10,2,84.16,80
22,2,13,38.06,80
23,13,2,38.06,80
24,2,18,215.17,80
25,18,2,215.17,80
26,4,6,685.86,80
27,6,4,685.86,80
28,4,10,84.31,80
29,10,4,84.31,80
30,5,15,747.77,80
31,15,5,747.77,80
32,6,19,338.42,80
33,19,6,338.42,80
34,7,8,742.72,80
35,8,7,742.72,80
36,7,9,470.74,80
37,9,7,470.74,80
38,8,15,383.97,80
39,15,8,383.97,80
40,9,10,235.86,80
41,10,9,235.86,80
42,9,17,639.92,80
43,17,9,639.92,80
44,10,11,1029.09,80
45,11,10,1029.09,80
46,10,14,121.64,80
47,14,10,121.64,80
48,10,15,444.8,80
49,15,10,444.8,80
50,10,16,937.89,80
51,16,10,937.89,80
52,12,15,441.53,80
53,15,12,441.53,80
54,14,19,862.43,80
55,19,14,862.43,80
56,15,16,510.37,80
57,16,15,510.37,80
58,15,19,553.67,80
59,19,15,553.67,80
