path_id,link_id,first_color
0,45,0
0,21,0
0,22,0
1,46,0
1,54,0
2,31,0
3,48,0
3,39,0
4,15,0
4,4,0
5,23,0
5,20,0
5,29,0
6,43,0
6,40,0
7,23,1
8,25,0
9,57,0
10,51,1
10,21,1
10,22,1
11,31,1
11,19,1
12,20,1
12,48,1
12,53,1
13,45,1
13,46,1
14,47,2
14,21,2
14,22,2
15,52,0
15,11,0
16,40,2
16,46,2
17,23,2
17,20,2
17,29,2
17,26,2
18,25,1
18,3,1
18,12,1
19,5,0
19,14,0
20,47,3
20,21,3
20,24,3
21,18,0
21,30,0
21,53,0
22,0,1
22,15,1
23,38,3
23,11,3
23,2,3
23,22,3
24,9,4
24,2,4
24,22,4
25,25,2
25,16,2
26,30,1
27,0,3
27,43,3
27,40,3
28,23,3
28,20,3
28,48,3
28,39,3
29,23,4
29,24,4
30,29,1
30,26,1
31,9,0
32,49,3
32,46,3
33,38,0
33,56,0
34,52,4
34,49,4
34,29,4
35,25,3
35,3,3
36,52,1
36,58,1
37,45,2
37,48,2
37,39,2
38,52,2
38,11,2
38,2,2
39,40,4
39,21,4
40,25,4
40,3,4
40,8,4
41,45,4
41,48,4
41,58,4
42,13,1
42,4,1
43,47,0
43,50,0
44,45,5
44,48,5
45,28,0
46,0,5
46,15,5
46,2,5
46,22,5
47,47,5
47,21,5
47,3,5
48,23,5
48,20,5
48,44,5
49,25,6
49,20,6
49,48,6
50,2,6
50,22,6
51,34,2
51,38,2
51,58,2
52,3,0
52,8,0
53,58,0
53,33,0
54,52,5
54,31,5
54,19,5
54,24,5
55,23,7
55,20,7
55,48,7
55,39,7
56,0,4
56,15,4
56,10,4
56,39,4
57,47,1
57,41,1
57,37,1
58,7,1
58,14,1
58,43,1
59,13,2
59,8,2
60,51,0
60,44,0
61,45,3
61,41,3
61,37,3
62,2,7
62,22,7
63,28,6
63,21,6
63,16,6
64,21,7
64,16,7
65,0,6
65,43,6
65,40,6
65,46,6
66,36,0
67,23,6
67,3,6
68,0,2
68,15,2
68,12,2
69,27,8
69,28,8
69,21,8
69,24,8
70,28,1
71,47,4
71,41,4
71,42,4
72,50,1
73,52,6
73,49,6
74,18,2
74,30,2
74,53,2
75,43,5
75,40,5
75,29,5
76,36,7
76,40,7
76,29,7
76,26,7
77,38,4
77,31,4
78,10,0
79,38,5
79,58,5
79,33,5
