path_id,source_id,destination_id,width
0,11,13,1
1,10,19,1
2,15,5,1
3,10,8,1
4,17,3,1
5,13,4,1
6,17,10,1
7,13,2,1
8,18,2,1
9,16,15,1
10,16,13,1
11,15,2,1
12,2,12,1
13,11,14,1
14,14,13,1
15,12,1,1
16,9,14,1
17,13,6,1
18,18,16,1
19,3,17,1
20,14,18,1
21,2,12,1
22,0,1,1
23,8,13,1
24,7,13,1
25,18,3,1
26,5,15,1
27,0,10,1
28,13,8,1
29,13,18,1
30,10,6,1
31,7,1,1
32,15,14,1
33,8,16,1
34,12,4,1
35,18,1,1
36,12,19,1
37,11,8,1
38,12,2,1
39,9,2,1
40,18,7,1
41,11,19,1
42,16,3,1
43,14,16,1
44,11,15,1
45,4,10,1
46,0,13,1
47,14,1,1
48,13,11,1
49,18,15,1
50,1,13,1
51,7,19,1
52,2,7,1
53,15,6,1
54,12,18,1
55,13,8,1
56,0,8,1
57,14,7,1
58,5,9,1
59,16,7,1
60,16,11,1
61,11,7,1
62,1,13,1
63,4,3,1
64,10,3,1
65,0,14,1
66,7,9,1
67,13,1,1
68,0,16,1
69,6,18,1
70,4,10,1
71,14,17,1
72,10,16,1
73,12,10,1
74,2,12,1
75,17,4,1
76,7,6,1
77,8,5,1
78,1,15,1
79,8,6,1
